event_id,customer_id,event_type,event_time,device_type,traffic_source,session_duration
EvtID00001,CUS-36774144,Cancel Subscription,3/20/2026,Mobile,Google Ads,154
EvtID00002,CUS-28586208,Logout,1/19/2026,Mobile,Google Ads,56
EvtID00003,CUS-18689009,Upgrade Plan,9/24/2025,Desktop,Google Ads,26
EvtID00004,CUS-66526137,Logout,4/14/2026,Desktop,Direct,178
EvtID00005,CUS-40651293,Cancel Subscription,2/15/2026,Mobile,Instagram,147
EvtID00006,CUS-42389905,Logout,2/13/2026,Desktop,Google Ads,
EvtID00007,CUS-60004468,Logout,10-07-2025,Mobile,Instagram,139
EvtID00008,CUS-25228746,Upgrade Plan,5/13/2026,Mobile,Email Campaign,25
EvtID00009,CUS-57281572,Upgrade Plan,2/23/2026,Mobile,Google Ads,60
EvtID00010,CUS-83577249,Logout,4/20/2025,Mobile,LinkedIn,95
EvtID00011,CUS-71502697,Logout,12/28/2025,Mobile,Instagram,34
EvtID00012,CUS-35148110,Logout,7/31/2025,Mobile,Instagram,64
EvtID00013,CUS-74296597,Purchase,5/25/2025,Desktop,Organic Search,68
EvtID00014,CUS-77919866,Upgrade Plan,1/13/2026,Desktop,LinkedIn,119
EvtID00015,CUS-88412974,Purchase,06-07-2025,Desktop,LinkedIn,
EvtID00016,CUS-89211152,Add to Cart,01-03-2026,Desktop,Instagram,88
EvtID00017,CUS-64240936,Cancel Subscription,6/26/2025,Mobile,Google Ads,18
EvtID00018,CUS-86995651,Add to Cart,8/15/2025,Desktop,Direct,141
EvtID00019,CUS-26153060,Login,05-07-2025,Mobile,Organic Search,143
EvtID00020,CUS-85693114,Login,8/13/2025,Mobile,Instagram,171
EvtID00021,CUS-88983752,Upgrade Plan,10/25/2025,Mobile,,
EvtID00022,CUS-15881618,Login,04-03-2026,Tablet,Instagram,
EvtID00023,CUS-54660657,Logout,07-05-2025,Mobile,Organic Search,
EvtID00024,CUS-59526807,Upgrade Plan,12-04-2025,Tablet,,60
EvtID00025,CUS-38658575,Login,5/18/2026,Mobile,Instagram,13
EvtID00026,CUS-28789137,Login,11/19/2025,Mobile,,
EvtID00027,CUS-59811236,Login,8/15/2025,Tablet,Email Campaign,85
