payment_id,customer_id,amount,payment_date,payment_status,payment_method
pay_20241202_5J4B6VE3,CUS-36774144,0,02-06-2026,Success,Debit Card
pay_20240930_5K8E5WF0,CUS-28586208,2387,2/20/2026,Failed,UPI
pay_20240331_0T6B8PW6,CUS-18689009,0,6/20/2025,Success,Credit Card
pay_20240308_0W9Y5VS0,CUS-66526137,0,8/27/2025,Refunded,PayPal
pay_20240317_5X4B1LZ1,CUS-40651293,863,10/19/2025,Success,Credit Card
pay_20240504_1T5N8OV5,CUS-42389905,0,9/27/2025,Success,Net Banking
pay_20240602_4D4B2KS8,CUS-60004468,0,12/20/2025,Success,Debit Card
pay_20240706_9M2H6OG3,CUS-25228746,1108,2/23/2026,Success,Net Banking
pay_20240326_0E2D1ZP2,CUS-57281572,0,04-01-2025,Success,Credit Card
pay_20240319_9K9U0KZ5,CUS-83577249,0,11/17/2025,Success,PayPal
pay_20240531_9M4F1CL9,CUS-71502697,547,4/25/2026,Success,Credit Card
pay_20240110_8G5X4GG0,CUS-35148110,1337,11/25/2025,Success,Credit Card
pay_20240915_8X7A5NC4,CUS-74296597,0,7/14/2025,Success,UPI
pay_20240330_8T0S6JE0,CUS-77919866,870,4/24/2026,Success,Debit Card
pay_20240512_5I3B5XJ4,CUS-88412974,0,11-07-2025,Success,UPI
pay_20240517_1B2Z3ZD8,CUS-89211152,1332,05-02-2026,Success,UPI
pay_20240124_9C6H6UG6,CUS-64240936,2464,12-05-2025,Success,Net Banking
pay_20240114_7F0S2WG5,CUS-86995651,4056,6/29/2025,Success,Net Banking
pay_20240528_3R6Y5LC4,CUS-26153060,2396,2/20/2026,Success,UPI
pay_20240114_5V4D5PE1,CUS-85693114,0,10/22/2025,Success,UPI
pay_20240801_2A6W6TB0,CUS-88983752,945,8/17/2025,Refunded,Debit Card
pay_20241114_6E4U0KN4,CUS-15881618,0,07-09-2025,Refunded,UPI
pay_20240501_8F1V5WT5,CUS-54660657,0,7/23/2025,Success,Net Banking
pay_20241223_4Z3J6PG7,CUS-59526807,1478,9/22/2025,Success,Net Banking
pay_20241010_9U6X6WP1,CUS-38658575,0,4/16/2025,Refunded,UPI
pay_20241226_5I2V1CQ8,CUS-28789137,9133,6/13/2025,Success,PayPal
pay_20240619_5Y1J8AO8,CUS-59811236,2463,05-09-2025,Success,PayPal
pay_20240617_3H4I9SA6,CUS-77115613,0,09-01-2025,Success,Debit Card
pay_20240226_5S7E9HK7,CUS-82541055,0,02-04-2026,Success,Debit Card
pay_20241125_7B6T8CB8,CUS-65476848,4395,4/30/2026,Success,UPI
pay_20240801_3S7L5HS2,CUS-59067322,0,4/24/2025,Success,UPI
pay_20241121_7S1Q0FD0,CUS-16093385,996,11-06-2025,Failed,Debit Card
pay_20241219_8E1R6RF5,CUS-68027288,863,4/26/2025,Success,Credit Card
pay_20240905_4Z0U5AQ5,CUS-92568079,0,05-09-2026,Success,Credit Card
pay_20240104_2I3D8CA1,CUS-27671999,4694,07-05-2025,Success,Net Banking
pay_20241216_8N1B7IV0,CUS-91449759,0,2/14/2026,Refunded,UPI
