payment_id,customer_id,amount,payment_date,payment_status,payment_method
pay_20241202_5J4B6VE3,CUS-36774144,0,06-02-2026,Success,Debit Card
pay_20240930_5K8E5WF0,CUS-28586208,2387,20-02-2026,Failed,UPI
pay_20240331_0T6B8PW6,CUS-18689009,0,20-06-2025,Success,Credit Card
pay_20240308_0W9Y5VS0,CUS-66526137,0,27-08-2025,Refunded,PayPal
pay_20240317_5X4B1LZ1,CUS-40651293,863,19-10-2025,Success,Credit Card
pay_20240504_1T5N8OV5,CUS-42389905,0,27-09-2025,Success,Net Banking
pay_20240602_4D4B2KS8,CUS-60004468,0,20-12-2025,Success,Debit Card
pay_20240706_9M2H6OG3,CUS-25228746,1108,23-02-2026,Success,Net Banking
pay_20240326_0E2D1ZP2,CUS-57281572,0,01-04-2025,Success,Credit Card
pay_20240319_9K9U0KZ5,CUS-83577249,0,17-11-2025,Success,PayPal
pay_20240531_9M4F1CL9,CUS-71502697,547,25-04-2026,Success,Credit Card
pay_20240110_8G5X4GG0,CUS-35148110,1337,25-11-2025,Success,Credit Card
pay_20240915_8X7A5NC4,CUS-74296597,0,14-07-2025,Success,UPI
pay_20240330_8T0S6JE0,CUS-77919866,870,24-04-2026,Success,Debit Card
pay_20240512_5I3B5XJ4,CUS-88412974,0,07-11-2025,Success,UPI
pay_20240517_1B2Z3ZD8,CUS-89211152,1332,02-05-2026,Success,UPI
pay_20240124_9C6H6UG6,CUS-64240936,2464,05-12-2025,Success,Net Banking
pay_20240114_7F0S2WG5,CUS-86995651,4056,29-06-2025,Success,Net Banking
pay_20240528_3R6Y5LC4,CUS-26153060,2396,20-02-2026,Success,UPI
pay_20240114_5V4D5PE1,CUS-85693114,0,22-10-2025,Success,UPI
pay_20240801_2A6W6TB0,CUS-88983752,945,17-08-2025,Refunded,Debit Card
pay_20241114_6E4U0KN4,CUS-15881618,0,09-07-2025,Refunded,UPI
pay_20240501_8F1V5WT5,CUS-54660657,0,23-07-2025,Success,Net Banking
pay_20241223_4Z3J6PG7,CUS-59526807,1478,22-09-2025,Success,Net Banking
pay_20241010_9U6X6WP1,CUS-38658575,0,16-04-2025,Refunded,UPI
pay_20241226_5I2V1CQ8,CUS-28789137,9133,13-06-2025,Success,PayPal
pay_20240619_5Y1J8AO8,CUS-59811236,2463,09-05-2025,Success,PayPal
pay_20240617_3H4I9SA6,CUS-77115613,0,01-09-2025,Success,Debit Card
pay_20240226_5S7E9HK7,CUS-82541055,0,04-02-2026,Success,Debit Card
pay_20241125_7B6T8CB8,CUS-65476848,4395,30-04-2026,Success,UPI
pay_20240801_3S7L5HS2,CUS-59067322,0,24-04-2025,Success,UPI
pay_20241121_7S1Q0FD0,CUS-16093385,996,06-11-2025,Failed,Debit Card
pay_20241219_8E1R6RF5,CUS-68027288,863,26-04-2025,Success,Credit Card
pay_20240905_4Z0U5AQ5,CUS-92568079,0,09-05-2026,Success,Credit Card
pay_20240104_2I3D8CA1,CUS-27671999,4694,05-07-2025,Success,Net Banking
pay_20241216_8N1B7IV0,CUS-91449759,0,14-02-2026,Refunded,UPI
pay_20241129_2O8F3AR4,CUS-63367179,1435,10-05-2026,Success,UPI
pay_20241201_3G8S9UI8,CUS-92374798,0,02-03-2026,Success,Credit Card
pay_20240313_0D6V9MC4,CUS-59080480,0,25-04-2025,Success,UPI
pay_20241214_8Q9Q1HO9,CUS-66768978,787,14-04-2025,Refunded,UPI
pay_20240430_9R3B7FO0,CUS-16468263,0,03-04-2025,Success,UPI
pay_20240427_2Q7D9DS6,CUS-20910454,588,03-12-2025,Success,UPI
pay_20240703_0V0A0TO1,CUS-33389524,0,11-06-2025,Failed,PayPal
pay_20240809_5H4Q1ZR1,CUS-18775630,1463,21-03-2026,Success,Debit Card
pay_20241020_9O3O3AP4,CUS-47820399,7263,04-05-2026,Success,UPI
pay_20241006_2Y7N1QK4,CUS-23798214,0,10-05-2026,Success,UPI
pay_20241120_6Z5M3TR5,CUS-19704775,4986,29-04-2025,Success,UPI
pay_20240915_3P5B4MV1,CUS-92348270,1170,02-04-2025,Success,Debit Card
pay_20240727_5N4C7LJ7,CUS-66266059,552,30-01-2026,Failed,Credit Card
pay_20240807_2L6V3UL2,CUS-24155727,0,02-04-2026,Success,Credit Card
pay_20240613_6Q3C4WT8,CUS-89210415,1326,31-03-2026,Success,UPI
pay_20240125_1F2U7LJ7,CUS-84332264,0,05-02-2026,Success,UPI
pay_20241009_6I3A0YP7,CUS-83598437,0,01-07-2025,Failed,Credit Card
pay_20240926_7G0E2VU3,CUS-71055915,682,26-08-2025,Success,Credit Card
pay_20240425_5T3A1JD8,CUS-57067831,1139,12-10-2025,Success,Debit Card
pay_20240710_8C9N4MP7,CUS-33704015,0,27-12-2025,Success,Net Banking
pay_20241022_1J4T1FU0,CUS-21605068,0,06-08-2025,Success,Net Banking
pay_20240618_3F8T0TF3,CUS-96441140,0,15-02-2026,Success,Debit Card
pay_20240301_5T4P0FS6,CUS-14916247,0,21-01-2026,Success,Net Banking
pay_20240421_8Z4E4UU7,CUS-28439072,0,21-05-2025,Success,Credit Card
pay_20241207_0R3E7NY4,CUS-97912797,0,07-08-2025,Failed,UPI
