ticket_id,customer_id,issue_type,priority,resolution_time_hours,ticket_status,support_channel
TKT-2104,CUS-84332264,Bug Report,Medium,39,Open,Web Portal
TKT-6452,CUS-83598437,Refund Request,Low,36,Closed,Chat
TKT-2998,CUS-71055915,Login Issue,Medium,24,Closed,Chat
TKT-6813,CUS-36075472,Login Issue,High,68,Open,Phone
TKT-1835,CUS-66706844,Login Issue,Low,8,Closed,Chat
TKT-7904,CUS-19030556,Payment Failure,Medium,31,Closed,Email
TKT-5279,CUS-43172101,Bug Report,Low,67,Closed,Chat
TKT-2517,CUS-51184932,Login Issue,Medium,46,Closed,Email
TKT-1276,CUS-49909786,Bug Report,Medium,44,Closed,Email
TKT-6935,CUS-20623729,Login Issue,Medium,20,Closed,Phone
TKT-7369,CUS-52074118,Payment Failure,Low,29,Open,Chat
TKT-6776,CUS-68511308,Subscription Problem,Medium,26,Closed,Phone
TKT-4500,CUS-24825604,Login Issue,Low,41,Pending,Email
TKT-1503,CUS-95040082,Bug Report,Low,50,Closed,Phone
TKT-5955,CUS-42804210,Login Issue,Low,26,Closed,Phone
TKT-9301,CUS-81539008,Subscription Problem,Low,20,Closed,Chat
TKT-7616,CUS-16246131,Bug Report,High,50,Closed,Chat
TKT-2357,CUS-88179336,Bug Report,Critical,49,Closed,Email
TKT-7418,CUS-81079269,Subscription Problem,Low,72,Closed,Email
TKT-3976,CUS-64011619,Bug Report,Low,52,Open,Email
TKT-6578,CUS-80918489,Refund Request,Low,27,Open,Chat
TKT-2097,CUS-32904547,Payment Failure,Medium,8,Open,Phone
TKT-1455,CUS-94243248,Subscription Problem,Medium,7,Pending,Phone
TKT-2881,CUS-15558502,Feature Request,Low,69,Closed,Phone
TKT-3394,CUS-83507528,Payment Failure,Critical,39,Open,Chat
TKT-6277,CUS-83735537,Payment Failure,Low,61,Closed,Email
TKT-3795,CUS-33494494,Subscription Problem,Low,52,Closed,Web Portal
TKT-4306,CUS-16288916,Bug Report,Low,22,Closed,Web Portal
TKT-4118,CUS-89564398,Payment Failure,Low,14,Closed,Chat
TKT-9921,CUS-92989315,Payment Failure,Critical,67,Closed,Chat
TKT-8618,CUS-10295611,Subscription Problem,Low,34,Open,Email
TKT-2661,CUS-25894501,Payment Failure,Critical,40,Closed,Email
TKT-6842,CUS-42084977,Refund Request,Medium,65,Closed,Chat
TKT-1337,CUS-82165601,Login Issue,Medium,25,Closed,Phone
TKT-5848,CUS-80640398,Payment Failure,Medium,55,Closed,Phone
TKT-1614,CUS-72860850,Login Issue,Medium,2,Closed,Email
TKT-8493,CUS-64245369,Login Issue,Low,50,Closed,Chat
TKT-4491,CUS-22399399,Bug Report,Medium,2,Closed,Web Portal
TKT-1704,CUS-74947997,Bug Report,Medium,27,Closed,Phone
TKT-1163,CUS-49341306,Payment Failure,Low,12,Closed,Phone
TKT-6425,CUS-34912997,Login Issue,Medium,33,Closed,Chat
TKT-1044,CUS-90625891,Login Issue,Low,42,Closed,Chat
TKT-9046,CUS-27561642,Payment Failure,Medium,49,Open,Chat
TKT-6379,CUS-17069657,Payment Failure,Low,61,Pending,Email
TKT-5772,CUS-27642115,Payment Failure,Low,38,Closed,Email
TKT-8617,CUS-61807354,Bug Report,Low,38,Open,Chat
TKT-5404,CUS-20360344,Payment Failure,Low,35,Closed,Phone
TKT-9653,CUS-98870199,Bug Report,Low,27,Closed,Chat
TKT-2470,CUS-64774291,Login Issue,High,14,Closed,Web Portal
TKT-3670,CUS-32792025,Bug Report,Medium,15,Open,Email
TKT-8458,CUS-66155424,Bug Report,Low,37,Closed,Email
TKT-7820,CUS-28946068,Refund Request,Low,23,Closed,Email
TKT-8154,CUS-76603019,Bug Report,Low,66,Closed,Email
TKT-9085,CUS-65534855,Payment Failure,High,62,Closed,Email
TKT-5859,CUS-29954748,Login Issue,Medium,45,Open,Chat
TKT-1509,CUS-46110966,Refund Request,Low,58,Closed,Chat
TKT-6782,CUS-62005831,Login Issue,High,61,Open,Email
