ticket_id,customer_id,issue_type,priority,resolution_time_hours,ticket_status,support_channel
TKT-1808,CUS-84332264,Bug Report,Medium,39,Open,Web Portal
TKT-4456,CUS-83598437,Refund Request,Low,36,Closed,Chat
TKT-1479,CUS-71055915,Login Issue,Medium,24,Closed,Chat
TKT-2402,CUS-36075472,Login Issue,High,68,Open,Phone
TKT-8543,CUS-66706844,Login Issue,Low,8,Closed,Chat
TKT-8628,CUS-19030556,Payment Failure,Medium,31,Closed,Email
TKT-8907,CUS-43172101,Bug Report,Low,67,Closed,Chat
TKT-8305,CUS-51184932,Login Issue,Medium,46,Closed,Email
TKT-6827,CUS-49909786,Bug Report,Medium,44,Closed,Email
TKT-6493,CUS-20623729,Login Issue,Medium,20,Closed,Phone
TKT-7991,CUS-52074118,Payment Failure,Low,29,Open,Chat
TKT-2296,CUS-68511308,Subscription Problem,Medium,26,Closed,Phone
TKT-3219,CUS-24825604,Login Issue,Low,41,Pending,Email
TKT-2736,CUS-95040082,Bug Report,Low,50,Closed,Phone
TKT-9138,CUS-42804210,Login Issue,Low,26,Closed,Phone
TKT-1031,CUS-81539008,Subscription Problem,Low,20,Closed,Chat
TKT-5955,CUS-16246131,Bug Report,High,50,Closed,Chat
TKT-9965,CUS-88179336,Bug Report,Critical,49,Closed,Email
TKT-1330,CUS-81079269,Subscription Problem,Low,72,Closed,Email
TKT-1491,CUS-64011619,Bug Report,Low,52,Open,Email
TKT-6726,CUS-80918489,Refund Request,Low,27,Open,Chat
TKT-7173,CUS-32904547,Payment Failure,Medium,8,Open,Phone
TKT-5734,CUS-94243248,Subscription Problem,Medium,7,Pending,Phone
TKT-9155,CUS-15558502,Feature Request,Low,69,Closed,Phone
TKT-7183,CUS-83507528,Payment Failure,Critical,39,Open,Chat
TKT-8369,CUS-83735537,Payment Failure,Low,61,Closed,Email
TKT-1984,CUS-33494494,Subscription Problem,Low,52,Closed,Web Portal
TKT-8273,CUS-16288916,Bug Report,Low,22,Closed,Web Portal
TKT-9734,CUS-89564398,Payment Failure,Low,14,Closed,Chat
TKT-7201,CUS-92989315,Payment Failure,Critical,67,Closed,Chat
TKT-9592,CUS-10295611,Subscription Problem,Low,34,Open,Email
TKT-4051,CUS-25894501,Payment Failure,Critical,40,Closed,Email
TKT-7944,CUS-42084977,Refund Request,Medium,65,Closed,Chat
TKT-3756,CUS-82165601,Login Issue,Medium,25,Closed,Phone
TKT-9975,CUS-80640398,Payment Failure,Medium,55,Closed,Phone
TKT-9650,CUS-72860850,Login Issue,Medium,2,Closed,Email
TKT-3213,CUS-64245369,Login Issue,Low,50,Closed,Chat
TKT-1069,CUS-22399399,Bug Report,Medium,2,Closed,Web Portal
TKT-4690,CUS-74947997,Bug Report,Medium,27,Closed,Phone
TKT-2505,CUS-49341306,Payment Failure,Low,12,Closed,Phone
TKT-6623,CUS-34912997,Login Issue,Medium,33,Closed,Chat
TKT-2219,CUS-90625891,Login Issue,Low,42,Closed,Chat
TKT-3351,CUS-27561642,Payment Failure,Medium,49,Open,Chat
TKT-7824,CUS-17069657,Payment Failure,Low,61,Pending,Email
TKT-1675,CUS-27642115,Payment Failure,Low,38,Closed,Email
TKT-8986,CUS-61807354,Bug Report,Low,38,Open,Chat
TKT-1646,CUS-20360344,Payment Failure,Low,35,Closed,Phone
